run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues,vectime,vecvalue
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[3].channel,packetsDiscarded:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[3].channel,packetsDiscarded:count,source,constant1(messageDiscarded),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[3].channel,packets:count,,,634,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[3].channel,packets:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[3].channel,packets:count,source,constant1(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[3].channel,packetBytes:sum,,,1287052,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[3].channel,packetBytes:sum,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[3].channel,packetBytes:sum,source,packetBytes(messageSent),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[3].channel,packetBytes:sum,unit,B,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[3].channel,throughput:last,,,51500.895909798,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[3].channel,throughput:last,source,sumPerDuration(packetBits(messageSent)),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[3].channel,throughput:last,unit,bps,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[2].port$o[3].channel,utilization:last,,,0.61382989199805,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[2].port$o[3].channel,utilization:last,source,timeavg(channelBusy),,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,scalar,Net5.rte[3].port$o[0].channel,packetsDiscarded:count,,,0,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[0].channel,packetsDiscarded:count,interpolationmode,none,,,,,,,,,,,
Net5SaturatedQueue-0-20170828-11:22:20-7906,attr,Net5.rte[3].port$o[0].channel,packetsDiscarded:count,source,constant1(messageDiscarded),,,,,,,,,,,
