run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,binedges,binvalues,vectime,vecvalue
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,runnumber,2,,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,runattr,,,seedset,2,,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,itervar,,,iaMean,2,,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,itervar,,,numHosts,10,,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,Aloha.numHosts,10,,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,Aloha.host[*].iaTime,exponential(2s),,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,Aloha.numHosts,20,,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,Aloha.slotTime,0,,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,Aloha.txRate,9.6kbps,,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,Aloha.host[*].pkLenBits,952b,,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,**.x,"uniform(0m, 1000m)",,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,**.y,"uniform(0m, 1000m)",,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,**.animationHoldTimeOnCollision,0s,,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,**.idleAnimationSpeed,1,,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,**.transmissionEdgeAnimationSpeed,1e-6,,,,,,,,,,,
PureAlohaExperiment-2-20170627-20:42:19-22739,param,,,**.midTransmissionAnimationSpeed,1e-1,,,,,,,,,,,
PureAlohaExperiment-5-20170627-20:42:16-22740,runattr,,,configname,PureAlohaExperiment,,,,,,,,,,,
